Age,Attrition,BusinessTravel,Department,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,Modeofwork,Jobmode
37,Yes,Travel_Rarely,Research & Development,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,OFFICE,Contract
21,No,Travel_Rarely,Research & Development,Male,3,1,Research Scientist,4,Single,1232,1,No,14,3,WFH,Part Time
45,No,Travel_Rarely,Research & Development,Male,3,3,Research Director,1,Married,13245,4,Yes,14,3,WFH,Contract
23,No,Travel_Rarely,Sales,Male,3,1,Sales Representative,1,Divorced,2322,3,No,13,3,OFFICE,FullTime
22,No,Travel_Rarely,Research & Development,Female,3,1,Laboratory Technician,4,Single,2871,1,No,15,3,WFH,Contract
19,Yes,Travel_Rarely,Sales,Male,3,1,Sales Representative,3,Single,1675,1,Yes,19,3,WFH,Part Time
19,Yes,Travel_Frequently,Sales,Female,1,1,Sales Representative,1,Single,2325,0,No,21,4,WFH,Contract
28,Yes,Travel_Rarely,Research & Development,Male,3,1,Laboratory Technician,3,Single,3485,2,No,11,3,WFH,Contract
29,No,Travel_Rarely,Sales,Male,2,2,Sales Executive,2,Married,6644,2,No,19,3,OFFICE,Part Time
18,Yes,Travel_Rarely,Research & Development,Male,3,1,Laboratory Technician,3,Single,1420,1,No,13,3,WFH,FullTime
18,No,Travel_Rarely,Sales,Female,2,1,Sales Representative,3,Single,1200,1,No,12,3,WFH,FullTime
47,No,Travel_Frequently,Sales,Male,3,2,Sales Representative,3,Single,2976,3,No,19,3,WFH,FullTime
48,No,Travel_Rarely,Sales,Female,3,3,Manager,3,Married,12504,3,No,21,4,WFH,Part Time
18,Yes,Travel_Frequently,Sales,Male,3,1,Sales Representative,2,Single,1878,1,Yes,14,3,WFH,FullTime
26,No,Travel_Rarely,Sales,Male,3,2,Sales Executive,3,Divorced,4306,5,No,12,3,WFH,Part Time
38,No,Travel_Rarely,Research & Development,Female,3,1,Research Scientist,1,Single,2619,3,No,17,3,WFH,FullTime
34,No,Travel_Rarely,Research & Development,Female,3,2,Manufacturing Director,1,Divorced,5121,3,No,14,3,WFH,Part Time
23,Yes,Travel_Rarely,Research & Development,Male,4,1,Laboratory Technician,1,Married,1601,1,Yes,21,4,OFFICE,Part Time
30,No,Travel_Rarely,Research & Development,Female,2,2,Manufacturing Director,4,Single,6877,5,Yes,24,4,WFH,Part Time
27,No,Non-Travel,Research & Development,Male,3,1,Research Scientist,4,Married,1706,1,No,11,3,OFFICE,Contract
48,No,Travel_Rarely,Research & Development,Male,3,1,Research Scientist,3,Married,2259,4,No,17,3,WFH,FullTime
29,Yes,Travel_Rarely,Research & Development,Female,2,1,Research Scientist,1,Single,2404,6,Yes,20,4,WFH,FullTime
18,No,Non-Travel,Research & Development,Male,3,1,Research Scientist,4,Single,1051,1,No,15,3,WFH,FullTime
50,Yes,Travel_Frequently,Sales,Male,3,2,Sales Executive,3,Single,4728,3,Yes,14,3,OFFICE,Part Time
34,No,Non-Travel,Research & Development,Male,2,1,Research Scientist,4,Married,2979,3,No,17,3,WFH,Contract
18,Yes,Non-Travel,Research & Development,Male,3,1,Laboratory Technician,3,Single,1904,1,No,12,3,OFFICE,FullTime
22,Yes,Travel_Frequently,Research & Development,Male,2,1,Research Scientist,4,Married,2853,0,Yes,11,3,WFH,FullTime
44,No,Non-Travel,Research & Development,Male,1,1,Research Scientist,3,Single,2290,2,No,13,3,WFH,Contract
40,No,Travel_Frequently,Sales,Male,3,2,Sales Executive,2,Married,4327,5,No,12,3,WFH,FullTime
45,No,Travel_Frequently,Research & Development,Female,3,5,Manager,2,Single,18061,3,No,22,4,OFFICE,Contract
18,No,Non-Travel,Research & Development,Female,3,1,Laboratory Technician,4,Single,1611,1,No,15,3,WFH,Part Time
24,Yes,Travel_Frequently,Research & Development,Male,3,1,Laboratory Technician,1,Single,3172,2,Yes,11,3,OFFICE,Part Time
28,Yes,Travel_Frequently,Research & Development,Male,2,1,Laboratory Technician,1,Single,2561,7,No,11,3,WFH,FullTime
33,No,Travel_Rarely,Research & Development,Male,3,2,Healthcare Representative,3,Single,6388,2,Yes,17,3,OFFICE,FullTime
18,Yes,Travel_Frequently,Sales,Female,3,1,Sales Representative,4,Single,1569,1,Yes,12,3,OFFICE,Part Time
38,No,Travel_Rarely,Research & Development,Female,3,1,Laboratory Technician,3,Married,3306,7,No,19,3,OFFICE,FullTime
32,Yes,Travel_Rarely,Sales,Male,1,2,Sales Executive,2,Single,6735,6,No,15,3,WFH,FullTime
33,Yes,Travel_Rarely,Sales,Female,3,3,Sales Executive,1,Single,8564,2,Yes,20,4,OFFICE,Contract
42,No,Travel_Rarely,Research & Development,Male,4,2,Healthcare Representative,1,Married,5538,5,No,18,3,WFH,Contract
18,No,Non-Travel,Research & Development,Female,3,1,Research Scientist,3,Single,1514,1,No,16,3,WFH,Contract
32,No,Travel_Frequently,Sales,Male,3,2,Sales Executive,4,Single,4648,8,No,13,3,OFFICE,Contract
42,No,Travel_Rarely,Research & Development,Male,3,1,Laboratory Technician,3,Single,3968,4,No,13,3,OFFICE,FullTime
56,No,Travel_Rarely,Sales,Female,2,2,Sales Executive,1,Married,5380,4,No,16,3,OFFICE,Contract
42,No,Travel_Rarely,Sales,Male,3,2,Sales Executive,4,Divorced,5087,3,Yes,12,3,OFFICE,Part Time
59,No,Travel_Rarely,Research & Development,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,4,OFFICE,Contract
30,No,Travel_Rarely,Research & Development,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,4,WFH,Part Time
22,No,Non-Travel,Research & Development,Male,4,1,Laboratory Technician,4,Divorced,2935,1,Yes,13,3,OFFICE,Contract
33,No,Travel_Rarely,Research & Development,Male,3,1,Laboratory Technician,4,Single,2496,4,No,11,3,OFFICE,Contract
39,Yes,Travel_Rarely,Sales,Male,3,2,Sales Representative,4,Married,2086,3,No,14,3,OFFICE,Contract
36,No,Travel_Rarely,Research & Development,Female,2,1,Research Scientist,1,Married,3419,9,Yes,14,3,OFFICE,Part Time
35,No,Travel_Rarely,Research & Development,Male,3,1,Laboratory Technician,4,Divorced,1951,1,No,12,3,WFH,FullTime
27,No,Travel_Rarely,Research & Development,Female,3,1,Laboratory Technician,1,Divorced,2341,1,No,13,3,OFFICE,Part Time
26,Yes,Travel_Rarely,Research & Development,Male,1,1,Laboratory Technician,3,Single,2293,1,No,12,3,WFH,Part Time
37,No,Travel_Rarely,Research & Development,Male,3,1,Research Scientist,2,Married,3022,4,No,21,4,WFH,Part Time
35,No,Travel_Rarely,Research & Development,Male,4,1,Laboratory Technician,4,Married,2269,1,No,19,3,OFFICE,FullTime
48,Yes,Travel_Rarely,Research & Development,Male,2,3,Laboratory Technician,3,Single,5381,9,Yes,13,3,OFFICE,Contract
45,No,Travel_Rarely,Research & Development,Male,3,3,Research Scientist,1,Divorced,9724,2,No,17,3,OFFICE,Part Time
36,Yes,Travel_Rarely,Research & Development,Male,2,1,Research Scientist,3,Married,3388,0,Yes,17,3,WFH,FullTime
31,No,Travel_Rarely,Research & Development,Male,3,1,Research Scientist,2,Single,2501,1,No,17,3,WFH,Contract
36,No,Travel_Rarely,Research & Development,Female,4,1,Laboratory Technician,4,Married,3038,3,No,12,3,OFFICE,Contract
55,No,Travel_Rarely,Sales,Male,3,3,Sales Executive,4,Married,10239,3,No,14,3,WFH,FullTime
32,No,Travel_Rarely,Research & Development,Male,3,1,Research Scientist,1,Single,2956,1,No,13,3,WFH,FullTime
20,Yes,Travel_Frequently,Research & Development,Female,2,1,Laboratory Technician,4,Single,2926,1,Yes,18,3,WFH,Contract
37,No,Non-Travel,Research & Development,Male,2,2,Healthcare Representative,4,Divorced,5163,5,No,14,3,WFH,Contract
34,No,Travel_Rarely,Research & Development,Female,2,2,Research Scientist,2,Divorced,4505,6,No,15,3,WFH,Contract
36,No,Travel_Rarely,Research & Development,Female,3,1,Laboratory Technician,4,Divorced,2835,5,No,22,4,OFFICE,FullTime
19,No,Travel_Rarely,Research & Development,Female,3,1,Laboratory Technician,2,Single,1483,1,No,14,3,OFFICE,FullTime
51,No,Travel_Rarely,Research & Development,Male,2,2,Manufacturing Director,3,Married,6132,2,No,17,3,WFH,Contract
58,No,Travel_Rarely,Research & Development,Female,2,1,Research Scientist,2,Married,3346,4,Yes,20,4,WFH,Contract
27,No,Non-Travel,Research & Development,Male,2,1,Research Scientist,3,Divorced,2566,1,Yes,15,3,WFH,Contract
19,Yes,Travel_Rarely,Research & Development,Male,2,1,Laboratory Technician,4,Single,1102,1,No,22,4,OFFICE,Contract
35,Yes,Travel_Rarely,Research & Development,Male,2,2,Manufacturing Director,3,Married,5916,3,Yes,13,3,WFH,FullTime
38,No,Travel_Rarely,Research & Development,Male,3,2,Manufacturing Director,3,Married,6553,9,No,14,3,OFFICE,FullTime
38,Yes,Travel_Rarely,Research & Development,Male,3,2,Healthcare Representative,1,Married,6673,7,Yes,19,3,OFFICE,Part Time
41,No,Travel_Rarely,Sales,Female,3,3,Manager,4,Single,13591,3,Yes,18,3,WFH,Part Time
59,No,Travel_Rarely,Research & Development,Male,2,1,Research Scientist,4,Married,2177,3,No,17,3,OFFICE,Contract
41,No,Travel_Rarely,Research & Development,Male,3,2,Research Scientist,1,Divorced,3072,2,No,16,3,WFH,Part Time
