Age,Attrition,BusinessTravel,Department,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,Modeofwork,Jobmode
37,1,0,0,0,2,1,0,3,0,2090,6,1,15,3,0,0
21,0,0,0,0,3,1,1,4,0,1232,1,0,14,3,1,1
45,0,0,0,0,3,3,2,1,1,13245,4,1,14,3,1,0
23,0,0,1,0,3,1,3,1,2,2322,3,0,13,3,0,2
22,0,0,0,1,3,1,0,4,0,2871,1,0,15,3,1,0
19,1,0,1,0,3,1,3,3,0,1675,1,1,19,3,1,1
19,1,1,1,1,1,1,3,1,0,2325,0,0,21,4,1,0
28,1,0,0,0,3,1,0,3,0,3485,2,0,11,3,1,0
29,0,0,1,0,2,2,6,2,1,6644,2,0,19,3,0,1
18,1,0,0,0,3,1,0,3,0,1420,1,0,13,3,1,2
18,0,0,1,1,2,1,3,3,0,1200,1,0,12,3,1,2
47,0,1,1,0,3,2,3,3,0,2976,3,0,19,3,1,2
48,0,0,1,1,3,3,4,3,1,12504,3,0,21,4,1,1
18,1,1,1,0,3,1,3,2,0,1878,1,1,14,3,1,2
26,0,0,1,0,3,2,6,3,2,4306,5,0,12,3,1,1
38,0,0,0,1,3,1,1,1,0,2619,3,0,17,3,1,2
34,0,0,0,1,3,2,5,1,2,5121,3,0,14,3,1,1
23,1,0,0,0,4,1,0,1,1,1601,1,1,21,4,0,1
30,0,0,0,1,2,2,5,4,0,6877,5,1,24,4,1,1
27,0,2,0,0,3,1,1,4,1,1706,1,0,11,3,0,0
48,0,0,0,0,3,1,1,3,1,2259,4,0,17,3,1,2
29,1,0,0,1,2,1,1,1,0,2404,6,1,20,4,1,2
18,0,2,0,0,3,1,1,4,0,1051,1,0,15,3,1,2
50,1,1,1,0,3,2,6,3,0,4728,3,1,14,3,0,1
34,0,2,0,0,2,1,1,4,1,2979,3,0,17,3,1,0
18,1,2,0,0,3,1,0,3,0,1904,1,0,12,3,0,2
22,1,1,0,0,2,1,1,4,1,2853,0,1,11,3,1,2
44,0,2,0,0,1,1,1,3,0,2290,2,0,13,3,1,0
40,0,1,1,0,3,2,6,2,1,4327,5,0,12,3,1,2
45,0,1,0,1,3,5,4,2,0,18061,3,0,22,4,0,0
18,0,2,0,1,3,1,0,4,0,1611,1,0,15,3,1,1
24,1,1,0,0,3,1,0,1,0,3172,2,1,11,3,0,1
28,1,1,0,0,2,1,0,1,0,2561,7,0,11,3,1,2
33,0,0,0,0,3,2,8,3,0,6388,2,1,17,3,0,2
18,1,1,1,1,3,1,3,4,0,1569,1,1,12,3,0,1
38,0,0,0,1,3,1,0,3,1,3306,7,0,19,3,0,2
32,1,0,1,0,1,2,6,2,0,6735,6,0,15,3,1,2
33,1,0,1,1,3,3,6,1,0,8564,2,1,20,4,0,0
42,0,0,0,0,4,2,8,1,1,5538,5,0,18,3,1,0
18,0,2,0,1,3,1,1,3,0,1514,1,0,16,3,1,0
32,0,1,1,0,3,2,6,4,0,4648,8,0,13,3,0,0
42,0,0,0,0,3,1,0,3,0,3968,4,0,13,3,0,2
56,0,0,1,1,2,2,6,1,1,5380,4,0,16,3,0,0
42,0,0,1,0,3,2,6,4,2,5087,3,1,12,3,0,1
59,0,0,0,1,4,1,0,1,1,2670,4,1,20,4,0,0
30,0,0,0,0,3,1,0,3,2,2693,1,0,22,4,1,1
22,0,2,0,0,4,1,0,4,2,2935,1,1,13,3,0,0
33,0,0,0,0,3,1,0,4,0,2496,4,0,11,3,0,0
39,1,0,1,0,3,2,3,4,1,2086,3,0,14,3,0,0
36,0,0,0,1,2,1,1,1,1,3419,9,1,14,3,0,1
35,0,0,0,0,3,1,0,4,2,1951,1,0,12,3,1,2
27,0,0,0,1,3,1,0,1,2,2341,1,0,13,3,0,1
26,1,0,0,0,1,1,0,3,0,2293,1,0,12,3,1,1
37,0,0,0,0,3,1,1,2,1,3022,4,0,21,4,1,1
35,0,0,0,0,4,1,0,4,1,2269,1,0,19,3,0,2
48,1,0,0,0,2,3,0,3,0,5381,9,1,13,3,0,0
45,0,0,0,0,3,3,1,1,2,9724,2,0,17,3,0,1
36,1,0,0,0,2,1,1,3,1,3388,0,1,17,3,1,2
31,0,0,0,0,3,1,1,2,0,2501,1,0,17,3,1,0
36,0,0,0,1,4,1,0,4,1,3038,3,0,12,3,0,0
55,0,0,1,0,3,3,6,4,1,10239,3,0,14,3,1,2
32,0,0,0,0,3,1,1,1,0,2956,1,0,13,3,1,2
20,1,1,0,1,2,1,0,4,0,2926,1,1,18,3,1,0
37,0,2,0,0,2,2,8,4,2,5163,5,0,14,3,1,0
34,0,0,0,1,2,2,1,2,2,4505,6,0,15,3,1,0
36,0,0,0,1,3,1,0,4,2,2835,5,0,22,4,0,2
19,0,0,0,1,3,1,0,2,0,1483,1,0,14,3,0,2
